Argentina,16,28,9,13,29
Australia,32,78,36,56,52
Austria,31,76,24,57,41
Bangladesh,22,37,7,10,0
Belarus,20,48,9,6,28
Belgium,36,61,39,61,73
Brazil,36,21,27,19,44
Canada,39,64,42,61,50
Chile,20,46,13,38,34
China,39,30,30,42,69
Colombia,17,51,14,59,33
Cyprus,18,75,29,57,30
Czech Republic,24,41,17,40,30
Denmark,31,70,33,66,59
Egypt,21,29,12,41,33
Estonia,19,42,21,47,33
Finland,29,48,27,56,45
France,36,62,26,69,38
Germany,39,54,34,66,53
Ghana,16,48,16,20,0
Greece,18,40,16,52,39
Hong Kong,43,74,47,64,49
Hungary,19,50,11,26,32
Iceland,13,59,22,74,64
India,32,17,20,39,44
Indonesia,18,37,8,14,40
Iran,27,15,27,32,74
Israel,39,50,42,44,35
Italy,25,38,20,63,41
Japan,41,24,33,40,52
Jordan,18,58,7,12,30
Kenya,14,46,9,20,28
Latvia,23,32,10,21,28
Lebanon,28,93,11,32,0
Lithuania,18,41,14,26,41
Luxembourg,25,100,27,85,38
Macau,18,86,19,59,34
Malaysia,24,38,15,19,31
Mexico,33,43,28,21,59
Morocco,17,44,6,48,29
Netherlands,41,62,52,67,72
New Zealand,23,86,26,52,47
Nigeria,23,26,11,5,29
Norway,30,63,28,61,39
Oman,21,72,11,16,38
Pakistan,20,33,8,40,31
Poland,21,32,13,41,31
Portugal,23,46,20,44,38
Qatar,10,100,10,22,55
Republic of Ireland,29,78,25,58,36
Romania,26,31,10,18,29
Russian Federation,39,36,25,35,52
Saudi Arabia,21,78,14,46,64
Serbia,20,31,13,14,46
Singapore,57,94,68,65,69
Slovakia,23,39,9,22,31
Slovenia,21,34,13,33,36
South Africa,27,62,31,55,83
South Korea,42,32,40,45,71
Spain,25,41,19,55,37
Sweden,36,60,44,64,57
Switzerland,45,90,44,77,53
Taiwan,30,24,34,35,59
Thailand,19,31,11,37,48
Turkey,27,36,25,57,53
Uganda,15,58,11,71,28
Ukraine,25,38,10,3,28
United Arab Emirates,16,95,13,18,32
United Kingdom,37,77,37,67,38
United States of America,48,41,45,75,47
